Language,Released Year,Programming Paradigm,Computational Class,Usability,Technical Characteristics,Specific Language Types or Features
BF-RLE,,,,,,brainfuck equivalents; languages
Forte,2006,,turing complete,implemented,,languages; low-level
Oof!,2006,,unknown computational class,usability unknown; no io; unimplemented,cell-based,languages; two-dimensional_languages; low-level
IINC,2006,,,unimplemented,,languages
Omgrofl,2006,,turing complete,implemented,stack-based; queue-based,languages; thematic
Petrovich,,,,unimplemented,,
Tiny,,imperative paradigm,,,,
Circute,2005,,unknown computational class,implemented,cellular automata,languages; low-level; two-dimensional languages
Nybbleist,2006,,,,,languages
Pointy,2006,,turing tarpits,implemented,,languages; low-level
Reaper,2002,,unknown computational class,unimplemented,,languages
Metropolis,2006,,turing complete,no io; implemented,,languages; two-dimensional languages
Threaded INTERCAL,1998,,,implemented,,languages; low-level
Backtracking INTERCAL,2002,,,implemented,,languages; low-level
Fractran,,,turing complete; turing tarpits,implemented,,
Wiki Cyclic Tag,2006,,turing complete; turing tarpits,implemented,queue-based,languages; low-level
HighFive,2006,,,implemented,cell-based,languages; brainfuck derivatives
TheSquare,2006,,,implemented,,languages; two-dimensional languages
Cupid,,,turing complete,implemented,cell-based,languages; brainfuck derivatives
Quantum brainfuck,2006,,unknown computational class,implemented,cell-based,languages; brainfuck derivatives; low-level; quantum computing
Pi,2006,,turing complete,implemented,,languages; brainfuck equivalents
UM-32,2006,,turing complete,implemented,,low-level; icfp contest
Aeolbonn,2006,,turing complete; turing tarpits,output only; implemented,cell-based,languages; low-level
Flatline,2004,,unknown computational class,unimplemented,cell-based,languages
Clunk,2002,,turing complete,implemented,,languages; two-dimensional languages; low-level
NICE,2002,,,implemented,queue-based,languages
SORTA,,,,implemented,stack-based,languages
RETURN,,,,implemented,,languages
CLC-INTERCAL,1999,object-oriented_paradigm,,,,languages
FURscript,2006,,,,,languages
DoubleFuck,,,turing tarpits,implemented,cell-based,brainfuck derivatives; low-level; languages
Dimensifuck,2006,,turing tarpits,implemented,cell-based; multi-dimensional languages,brainfuck derivatives; low-level; languages
BestFriends.js,,,,implemented,,languages; two-dimensional languages
Thubi,2006,,turing complete,unimplemented,,meta-languages; low-level
TwoStep,2006,,,implemented,,languages
BitFlip,2006,,turing complete,unimplemented,,languages
OGEL,2006,,,unimplemented,cell-based; stack-based,languages; two-dimensional languages
Lo'reran,,,,unimplemented,,languages
Con-Text,2016,,turing complete,unimplemented,,
GrainFimple,2006,,,,,languages
Formula,2006,,turing complete,unimplemented,multi-dimensional languages,low-level
~,2006,,,implemented,deque-based,languages
Vertica Smile,,,,,,languages
Recurse,2006,,turing complete,implemented,cell-based,languages; two-dimensional languages
Arbol,2005,functional paradigm,turing complete,unimplemented,,languages
Waduzitdo,,,finite state automata,implemented,,languages; low-level
LOCK,2006,,turing complete,implemented,,languages
Come Here,2003,,turing complete,implemented,,languages
Condit,2001,,turing complete,implemented,,languages
Perligata,2000,,,implemented,,languages
Celum,2006,,,implemented,,languages
MonkeyCode,2006,,unknown computational class,implemented,,languages
Odtizuda,2004,,,,,languages
LOLA,2006,functional paradigm,turing complete; turing tarpits,implemented,,languages
TLWNN,2006,,turing complete,implemented,stack-based,languages
2D-Reverse,2006,,,,,languages; two-dimensional languages
RecurseMe,2006,,,,,languages
Leszek,2006,,unknown computational class,implemented,,high-level; languages
Subleq,,,turing complete,implemented,cell-based,languages; low-level
Capuirequiem,2006,,turing complete,implemented,,languages
Another Pi Language,2006,,,unimplemented,,languages
Lazy,2006,functional paradigm,turing complete,usability unknown; unimplemented,,languages
Fractran++,,,,,,languages
Underload,2006,,turing complete; turing tarpits,implemented; output only,stack-based,languages; low-level
Deadfish,2006,,finite state automata,unusable for programming; output only; implemented; total,accumulator-based,languages; joke languages
Version2,,,,implemented,,languages
Reversible Brainfuck,2006,,turing complete,implemented,,languages; brainfuck derivatives
Revomer,2006,,,implemented,,languages
CUTLASS,,,turing complete,implemented,,languages; high-level
Numobin,2007,,,implemented,,languages
0x29C,2007,,,unimplemented,,languages
Dupdog,2007,,unknown computational class,implemented; usability unknown,,languages
Weave,2007,,turing complete,implemented,concurrent programming,languages; brainfuck derivatives
5-logic,2007,,,unimplemented,,languages
COBOL,2007,,unknown computational class,unimplemented,stack-based,languages
Minus,,,turing complete,implemented,,languages
Malbolge Unshackled,2007,,turing complete,implemented,cell-based,languages
Tag,2007,,turing tarpits,output only; implemented,queue-based,languages
Zetaplex,2007,,turing complete,implemented,,languages; two-dimensional languages; high-level
Thutu,2007,,turing complete,implemented,,languages; low-level
SMITHb,,,turing complete,implemented,stack-based,languages
FRAK,,,,,,brainfuck; languages
Brainfuck++,,,turing complete,implemented,cell-based,languages; brainfuck derivatives
Stue,,,unknown computational class,usability unknown,stack-based; queue-based,languages
LOLCODE,2007,,turing complete,implemented,,languages
Betterave,2007,,turing complete,implemented,,languages
Liquid,2007,,turing complete,unimplemented,cell-based,languages
Pavia,,,,implemented,stack-based,languages
DumbScript,,,,,,languages
HEX,2007,,finite state automata,implemented; usability_unknown,,languages
Musical-X,2007,,,,,languages
Billiard ball machine,,,turing tarpits,no io,particle automata,languages; two-dimensional languages; low-level; quantum computing
2-ill,2007,,,implemented,,languages; two-dimensional languages
Crainfuck,2007,,turing complete,implemented,,languages; brainfuck derivatives
EPOAQ,2006,,unknown computational class,,,languages
JumpFuck,2007,,turing complete,implemented,,languages; brainfuck derivatives
XBF,2007,,,,,languages; brainfuck_derivatives
SockZ,,,,implemented,stack-based,languages; low-level
Complode,2007,,unknown computational class,implemented,stack-based,languages
PointerTape,2007,,,unimplemented; works-in-progress,cell-based,languages
Crab,,,,,,languages
TWiRQ,,,,implemented,,languages
V--,2007,,,,,languages; high-level
Q-Ref,2007,,unknown computational class,unimplemented,queue-based,languages
Stackfuck,2007,,unknown computational class,implemented,stack-based,languages; brainfuck derivatives; low-level
RubE On Conveyor Belts,2007,,,implemented; usability unknown,,languages; brainfuck derivatives; two-dimensional languages
Divzeros,2007,declarative paradigm,unknown computational class,implemented,,languages
IRC,,,turing complete,implemented,,languages; thematic
Roco,2007,,turing complete,implemented,,languages
DOG,2007,,,implemented,,languages; thematic
PHAWN,,,,,stack-based,languages; two-dimensional languages
Xigxag,2001,,unknown computational class,implemented; unusable for programming,,languages
Hev,2007,,turing complete,implemented; no io,,languages
Burro,2007,,unknown computational class,no io; implemented,,languages; brainfuck derivatives
Cabra,2007,,,unusable for programming; no io; implemented,,languages
You are Reading the Name of this Esolang,2007,,turing complete; turing tarpits,unimplemented,cell-based,brainfuck derivatives; languages; low-level
Emmental,2007,,turing complete,implemented,stack-based,languages
DateFuck,2007,,unknown computational class,implemented,,languages
Byte Syze,2007,,finite state automata,implemented,cell-based,languages; low-level
Splinter,2007,,push-down automata,output only; implemented,,low-level; languages
SendStuff,2007,,unknown computational class,unimplemented,,languages
1cnis,2007,,unknown computational class,implemented; output only,,languages
Jug,2007,,,implemented,,languages
Nest,2007,,turing complete,implemented,,languages; low-level
SoT,2007,,turing complete,unimplemented,,languages; quantum computing
SCAB computer,2007,,turing tarpits,implemented,cell-based,languages; low-level
ContinuousEquation,2007,,,,,languages
Novice,2007,,turing tarpits,implemented,,low-level; languages
TempoVar,2007,,,unimplemented,,languages
1337,,functional paradigm,turing complete,implemented,,languages
Full 0,2007,,,implemented,,languages
Ctonia,2008,,,,stack-based,languages
Perl,,,turing complete,implemented,,languages
Skull,2008,,turing complete,implemented,,languages
BIO,2008,,,implemented; output only,,languages
EXCON,2008,,,unusable for programming; total; implemented,,languages
CRTL,2008,,,,,languages
NTCM,2007,,turing complete,implemented,cell-based,languages; low-level
GolfScript,2007,,turing complete,implemented,stack-based,languages; golfing language
C-LONG,,,,unimplemented,,languages
LICE,2008,,,unimplemented,,languages
Lazy Bird,2008,functional paradigm,turing complete,implemented,,languages; low-level
ACRONYM,2008,,,unimplemented,,languages
Child,,,,implemented,cell-based,languages; brainfuck derivatives
Tree,2008,,,implemented; total,,languages; two-dimensional languages; thematic
Byter,,,,unusable for programming; output only; implemented,,joke languages; languages; high-level
Ozone,,,unknown computational class,unimplemented,stack-based,languages
Andrei Machine 9000,2008,,unknown computational class,unimplemented,,languages
Foo,2008,,,implemented,cell-based,languages; low-level
RCEM,2008,,turing tarpits; turing complete,implemented,cell-based,languages
FlogScript,2008,,,implemented,stack-based,golfing language; languages
3D,2008,,unknown computational class,usability unknown; implemented,multi-dimensional languages,languages
ABC,2008,,,implemented; unusable for programming,,languages
Aubergine,2008,,turing complete,implemented,,languages; low-level
WALP,2008,,,output only; implemented,,two-dimensional languages
Grass,2006,functional paradigm,,implemented,,languages
Brainstuck,,,unknown computational class,implemented,stack-based,languages; brainfuck derivatives
Selector,2008,,,unimplemented,stack-based,languages; low-level
MIX,2008,,,implemented,,languages
Alchemy,2008,,unknown computational class,implemented,,languages; thematic
Optimism,2008,,turing_complete; turing_tarpits,,,low-level; languages
Two Fifty Six,,,,,,
Tg,2008,,,implemented,,languages
RFOL,2008,,,implemented,,languages
Varsig,2008,,turing complete,implemented,cell-based; stack-based,languages
Hannah,,,,,,languages; two-dimensional languages; low-level
RWLR,2008,,,implemented,,languages
Eodermdrome,2008,,turing tarpits,implemented,,languages
Drainfuck,2008,,,implemented,cell-based,languages; brainfuck derivatives
Brainstack,2008,,,,cell-based; stack-based,languages; brainfuck derivatives
Conveyor,2008,,,unimplemented,,languages
Figurehead,2008,,turing tarpits; turing complete,no io; implemented,,low-level; languages
Platts,2008,,turing complete,implemented,,languages; low-level
DOBELA,2008,,unknown computational class,implemented,queue-based,languages; two-dimensional languages; low-level
